"Date","Price","Open","High","Low","Change %"
"Jun 18, 2009","43.54","43.54","43.54","43.54","0.35"
"Jun 17, 2009","43.39","43.39","43.39","43.39","-0.25"
"Jun 16, 2009","43.50","43.50","43.50","43.50","-0.57"
"Jun 15, 2009","43.75","43.75","43.75","43.75","-1.51"
"Jun 12, 2009","44.42","44.42","44.42","44.42","0.11"
"Jun 11, 2009","44.37","44.37","44.37","44.37","0.80"
"Jun 10, 2009","44.02","44.02","44.02","44.02","-0.14"
"Jun 09, 2009","44.08","44.08","44.08","44.08","0.34"
"Jun 08, 2009","43.93","43.93","43.93","43.93","-0.02"
"Jun 05, 2009","43.94","43.94","43.94","43.94","-0.50"
"Jun 04, 2009","44.16","44.16","44.16","44.16","0.57"
"Jun 03, 2009","43.91","43.91","43.91","43.91","-1.15"
"Jun 02, 2009","44.42","44.42","44.42","44.42","0.34"
"Jun 01, 2009","44.27","44.27","44.27","44.27","1.23"
"May 29, 2009","43.73","43.73","43.73","43.73","1.25"
"May 28, 2009","43.19","43.19","43.19","43.19","1.36"
"May 27, 2009","42.61","42.61","42.61","42.61","-1.39"
"May 26, 2009","43.21","43.21","43.21","43.21","1.53"
"May 22, 2009","42.56","42.56","42.56","42.56","0.00"
"May 21, 2009","42.56","42.56","42.56","42.56","-1.12"
"May 20, 2009","43.04","43.04","43.04","43.04","0.05"
"May 19, 2009","43.02","43.02","43.02","43.02","-0.09"
"May 18, 2009","43.06","43.06","43.06","43.06","1.84"
"May 15, 2009","42.28","42.28","42.28","42.28","-0.80"
"May 14, 2009","42.62","42.62","42.62","42.62","0.64"
"May 13, 2009","42.35","42.35","42.35","42.35","-1.53"
"May 12, 2009","43.01","43.01","43.01","43.01","0.26"
"May 11, 2009","42.90","42.90","42.90","42.90","-1.24"
"May 08, 2009","43.44","43.44","43.44","43.44","2.04"
"May 07, 2009","42.57","42.57","42.57","42.57","-0.86"
"May 06, 2009","42.94","42.94","42.94","42.94","1.66"
"May 05, 2009","42.24","42.24","42.24","42.24","-0.38"
"May 04, 2009","42.40","42.40","42.40","42.40","2.34"
"May 01, 2009","41.43","41.43","41.43","41.43","0.68"
"Apr 30, 2009","41.15","41.15","41.15","41.15","0.10"
"Apr 29, 2009","41.11","41.11","41.11","41.11","1.41"
"Apr 28, 2009","40.54","40.54","40.54","40.54","-0.20"
"Apr 27, 2009","40.62","40.62","40.62","40.62","-0.49"
"Apr 24, 2009","40.82","40.82","40.82","40.82","0.89"
"Apr 23, 2009","40.46","40.46","40.46","40.46","0.97"
"Apr 22, 2009","40.07","40.07","40.07","40.07","-0.67"
"Apr 21, 2009","40.34","40.34","40.34","40.34","1.08"
"Apr 20, 2009","39.91","39.91","39.91","39.91","-2.23"
"Apr 17, 2009","40.82","40.82","40.82","40.82","0.02"
"Apr 16, 2009","40.81","40.81","40.81","40.81","0.64"
"Apr 15, 2009","40.55","40.55","40.55","40.55","1.05"
"Apr 14, 2009","40.13","40.13","40.13","40.13","-1.16"
"Apr 13, 2009","40.60","40.60","40.60","40.60","0.50"
"Apr 09, 2009","40.40","40.40","40.40","40.40","2.02"
"Apr 08, 2009","39.60","39.60","39.60","39.60","0.69"
"Apr 07, 2009","39.33","39.33","39.33","39.33","-1.26"
"Apr 06, 2009","39.83","39.83","39.83","39.83","-0.65"
